,areaid,areaname,districtid,districtname,areaid0,areaname0,districtid0,districtname0,pharmagroup,clientdunsno,customerlocationname,custcol_8,parentptsdunsno,custcol_6,parentshipperlocationname,productcode,producttypedesc,weekid,weekdesc,monthid,monthdesc,mailclasscode,svcstddaytimecode,mailclasssrvcstddesc,ontimevolume,totalcount,failedcount
17,5,WESTPAC,73,WASHINGTON,5,WESTPAC,63,CALIFORNIA 6,OPTUM RX WV_HDP,902746732,OPTUM RX WV_HDP,902746732,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5569,2022-01-15,1289,JAN 2022,PM,2D  ,Priority Mail - 2 Day,2,3,1
18,10,CENTRAL,72,KS-MO,10,CENTRAL,31,MICHIGAN 2,HDP,902205126,HDP,902205126,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5587,2022-05-21,1293,MAY 2022,FC,3D  ,First Class - 3 Day,151,165,14
19,7,SOUTHERN,1507,GEORGIA,7,SOUTHERN,1507,GEORGIA,KAISER PERMANENTE - MAS REGION - EVS,902072113,KAISER PERMANENTE - MAS REGION - EVS,902072113,902072110,902072110,KAISER PERMANENTE - MAS REGION - EVS,FC ,First-Class                                       ,5584,2022-04-30,1293,MAY 2022,FC,2D  ,First Class - 2 Day,4,4,0
20,5,WESTPAC,1081,AZ-NM,5,WESTPAC,87,ALASKA,HUMANA,931508577,HUMANA - PHX (PMOD),931508577,901097571,901097571,HUMANA PROCUREMENT,FC ,First-Class                                       ,5563,2021-12-04,1288,DEC 2021,FC,3D  ,First Class - 3 Day,11,14,3
21,5,WESTPAC,73,WASHINGTON,5,WESTPAC,73,WASHINGTON,OPTUM RX WV_HDP,902746735,OPTUM RX WV_HDP,902746735,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5586,2022-05-14,1293,MAY 2022,FC,3D  ,First Class - 3 Day,42,42,0
22,10,CENTRAL,72,KS-MO,5,WESTPAC,65,ID-MT-OR,HDP,901267098,HDP,901267098,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5602,2022-09-03,1297,SEP 2022,PM,3D  ,Priority Mail - 3 Day,7,8,1
23,7,SOUTHERN,79,TEXAS 3,10,CENTRAL,24,MICHIGAN 1,OPTUM RX SA_HDP,902746720,OPTUM RX SA_HDP,902746720,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5607,2022-10-08,1298,OCT 2022,PM,2D  ,Priority Mail - 2 Day,1,1,0
24,10,CENTRAL,72,KS-MO,5,WESTPAC,63,CALIFORNIA 6,HDP,902205126,HDP,902205126,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5568,2022-01-08,1289,JAN 2022,FC,3D  ,First Class - 3 Day,6,7,1
25,10,CENTRAL,14,ILLINOIS 1,5,WESTPAC,73,WASHINGTON,PBM - We-- Care,902372655,PBM - We-- Care,902372655,901000062,901000062,CVS / CAREMARK - WILKES BARRE,PM ,Priority Mail                                     ,5607,2022-10-08,1298,OCT 2022,PM,3D  ,Priority Mail - 3 Day,1,1,0
26,5,WESTPAC,73,WASHINGTON,5,WESTPAC,64,CALIFORNIA 1,OPTUM RX WV_HDP,902746734,OPTUM RX WV_HDP,902746734,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5584,2022-04-30,1293,MAY 2022,FC,3D  ,First Class - 3 Day,1275,1313,38
27,5,WESTPAC,73,WASHINGTON,5,WESTPAC,89,CO-WY,OPTUM RX WV_HDP,902746734,OPTUM RX WV_HDP,902746734,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5577,2022-03-12,1291,MAR 2022,PM,3D  ,Priority Mail - 3 Day,11,13,2
28,2,ATLANTIC,60,PENNSYLVANIA 1,10,CENTRAL,40,KY-WV,CVS,999999188,CVS 02921 MONROLEVILLE,999999188,901000062,901000062,CVS / CAREMARK - WILKES BARRE,FC ,First-Class                                       ,5597,2022-07-30,1296,AUG 2022,FC,2D  ,First Class - 2 Day,2,2,0
29,2,ATLANTIC,1317,NEW JERSEY,2,ATLANTIC,28,CONNECTICUT,OPTUM RX PB_HDP,902746703,OPTUM RX PB_HDP,902746703,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5597,2022-07-30,1296,AUG 2022,PM,1D  ,Priority Mail - 1 Day,9,9,0
30,10,CENTRAL,72,KS-MO,7,SOUTHERN,1320,PUERTO RICO,OPTUM RX OP_HDP,902746682,OPTUM RX OP_HDP,902746682,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5573,2022-02-12,1290,FEB 2022,PM,3D  ,Priority Mail - 3 Day,2,5,3
31,5,WESTPAC,63,CALIFORNIA 6,7,SOUTHERN,1471,AL-MS,HDP,901326076,HDP,901326076,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5571,2022-01-29,1289,JAN 2022,FC,3D  ,First Class - 3 Day,34,40,6
32,5,WESTPAC,73,WASHINGTON,5,WESTPAC,89,CO-WY,HDP,902293987,HDP,902293987,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5578,2022-03-19,1291,MAR 2022,FC,3D  ,First Class - 3 Day,19,41,22
33,7,SOUTHERN,79,TEXAS 3,5,WESTPAC,1081,AZ-NM,OPTUM RX SA_HDP,902746718,OPTUM RX SA_HDP,902746718,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5576,2022-03-05,1291,MAR 2022,PM,2D  ,Priority Mail - 2 Day,19,19,0
34,7,SOUTHERN,1497,FLORIDA 1,10,CENTRAL,23,IA-NE-SD,OPTUMRX OV_HDP,902746690,OPTUMRX OV_HDP,902746690,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5595,2022-07-16,1295,JUL 2022,PM,3D  ,Priority Mail - 3 Day,46,48,2
35,2,ATLANTIC,2294,NORTH CAROLINA,2,ATLANTIC,57,DE-PA 2 DISTRICT,OPTUM RX CH_HDP,902746630,OPTUM RX CH_HDP,902746630,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5579,2022-03-26,1292,APR 2022,PM,3D  ,Priority Mail - 3 Day,1,1,0
36,2,ATLANTIC,2294,NORTH CAROLINA,2,ATLANTIC,74,VIRGINIA,OPTUM RX CH_HDP,902746632,OPTUM RX CH_HDP,902746632,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5584,2022-04-30,1293,MAY 2022,PM,2D  ,Priority Mail - 2 Day,57,58,1
37,7,SOUTHERN,1497,FLORIDA 1,10,CENTRAL,15,ILLINOIS 2,OPTUMRX OV_HDP,902746690,OPTUMRX OV_HDP,902746690,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5606,2022-10-01,1298,OCT 2022,FC,3D  ,First Class - 3 Day,387,437,50
38,2,ATLANTIC,1,NEW YORK 3,2,ATLANTIC,1,NEW YORK 3,HDP,902293957,HDP,902293957,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5601,2022-08-27,1296,AUG 2022,FC,2D  ,First Class - 2 Day,2,2,0
39,7,SOUTHERN,1497,FLORIDA 1,7,SOUTHERN,1497,FLORIDA 1,OPTUMRX OV_HDP,902746690,OPTUMRX OV_HDP,902746690,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5562,2021-11-27,1288,DEC 2021,PM,1D  ,Priority Mail - 1 Day,16,19,3
40,5,WESTPAC,63,CALIFORNIA 6,10,CENTRAL,46,WISCONSIN,OPTUM RX CA_HDP,902746620,OPTUM RX CA_HDP,902746620,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5568,2022-01-08,1289,JAN 2022,FC,3D  ,First Class - 3 Day,257,330,73
41,5,WESTPAC,73,WASHINGTON,5,WESTPAC,62,CALIFORNIA 2,HDP,902575882,HDP,902575882,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5568,2022-01-08,1289,JAN 2022,PM,2D  ,Priority Mail - 2 Day,29,32,3
42,7,SOUTHERN,79,TEXAS 3,2,ATLANTIC,44,MARYLAND,OPTUM RX SA_HDP,902746721,OPTUM RX SA_HDP,902746721,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5592,2022-06-25,1294,JUN 2022,PM,2D  ,Priority Mail - 2 Day,12,12,0
43,10,CENTRAL,72,KS-MO,7,SOUTHERN,1471,AL-MS,OPTUM RX OP_HDP,902746684,OPTUM RX OP_HDP,902746684,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5565,2021-12-18,1288,DEC 2021,PM,2D  ,Priority Mail - 2 Day,13,21,8
44,10,CENTRAL,72,KS-MO,5,WESTPAC,63,CALIFORNIA 6,OPTUM RX OP_HDP,902746685,OPTUM RX OP_HDP,902746685,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5608,2022-10-15,1298,OCT 2022,PM,2D  ,Priority Mail - 2 Day,6,6,0
45,2,ATLANTIC,2294,NORTH CAROLINA,10,CENTRAL,16,OHIO 2,OPTUM RX CH_HDP,902746629,OPTUM RX CH_HDP,902746629,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5563,2021-12-04,1288,DEC 2021,FC,3D  ,First Class - 3 Day,1356,1380,24
46,10,CENTRAL,14,ILLINOIS 1,10,CENTRAL,55,MN-ND,PBM - We-- Care,902372655,PBM - We-- Care,902372655,901000062,901000062,CVS / CAREMARK - WILKES BARRE,PM ,Priority Mail                                     ,5592,2022-06-25,1295,JUL 2022,PM,2D  ,Priority Mail - 2 Day,4,4,0
47,5,WESTPAC,63,CALIFORNIA 6,10,CENTRAL,15,ILLINOIS 2,HDP,901326076,HDP,901326076,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5563,2021-12-04,1288,DEC 2021,PM,2D  ,Priority Mail - 2 Day,8,11,3
48,10,CENTRAL,16,OHIO 2,5,WESTPAC,64,CALIFORNIA 1,HUMANA,931508576,HUMANA - OH (PMOD),931508576,901097571,901097571,HUMANA PROCUREMENT,PM ,Priority Mail                                     ,5557,2021-10-23,1286,OCT 2021,PM,3D  ,Priority Mail - 3 Day,4,5,1
49,10,CENTRAL,14,ILLINOIS 1,5,WESTPAC,1080,NV-UT,PBM - We-- Care,902372655,PBM - We-- Care,902372655,901000062,901000062,CVS / CAREMARK - WILKES BARRE,FC ,First-Class                                       ,5596,2022-07-23,1295,JUL 2022,FC,4D  ,First Class - 4 Day,249,252,3
50,2,ATLANTIC,2294,NORTH CAROLINA,10,CENTRAL,46,WISCONSIN,OPTUM RX CH_HDP,902746633,OPTUM RX CH_HDP,902746633,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5601,2022-08-27,1297,SEP 2022,FC,3D  ,First Class - 3 Day,585,618,33
51,5,WESTPAC,73,WASHINGTON,5,WESTPAC,81,CALIFORNIA 3,OPTUM RX WV_HDP,902746735,OPTUM RX WV_HDP,902746735,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5584,2022-04-30,1293,MAY 2022,PM,2D  ,Priority Mail - 2 Day,1,1,0
52,10,CENTRAL,72,KS-MO,2,ATLANTIC,2294,NORTH CAROLINA,OPTUM RX OP_HDP,902746682,OPTUM RX OP_HDP,902746682,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5577,2022-03-12,1291,MAR 2022,PM,3D  ,Priority Mail - 3 Day,2,2,0
53,7,SOUTHERN,79,TEXAS 3,2,ATLANTIC,1,NEW YORK 3,HDP,902541977,HDP,902541977,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5606,2022-10-01,1298,OCT 2022,PM,3D  ,Priority Mail - 3 Day,1,1,0
54,10,CENTRAL,15,ILLINOIS 2,10,CENTRAL,16,OHIO 2,CVS,999999194,CVS PBM MT PROSPECT,999999194,901000062,901000062,CVS / CAREMARK - WILKES BARRE,PM ,Priority Mail                                     ,5600,2022-08-20,1296,AUG 2022,PM,2D  ,Priority Mail - 2 Day,17,19,2
55,10,CENTRAL,72,KS-MO,2,ATLANTIC,1,NEW YORK 3,OPTUM RX OP_HDP,902746685,OPTUM RX OP_HDP,902746685,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5588,2022-05-28,1294,JUN 2022,PM,2D  ,Priority Mail - 2 Day,6,6,0
56,5,WESTPAC,1081,AZ-NM,2,ATLANTIC,9,MA-RI,HUMANA,931508577,HUMANA - PHX (PMOD),931508577,901097571,901097571,HUMANA PROCUREMENT,PM ,Priority Mail                                     ,5588,2022-05-28,1294,JUN 2022,PM,2D  ,Priority Mail - 2 Day,37,40,3
57,10,CENTRAL,72,KS-MO,5,WESTPAC,70,CALIFORNIA 4,CMOP LEAVENWORTH,901581567,CMOP LEAVENWORTH,901581567,901581565,901581565,GENCO,PM ,Priority Mail                                     ,5598,2022-08-06,1296,AUG 2022,PM,2D  ,Priority Mail - 2 Day,2,2,0
58,10,CENTRAL,72,KS-MO,7,SOUTHERN,1488,FLORIDA 3,OPTUM RX OP_HDP,902746685,OPTUM RX OP_HDP,902746685,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5584,2022-04-30,1292,APR 2022,FC,3D  ,First Class - 3 Day,87,118,31
59,2,ATLANTIC,74,VIRGINIA,7,SOUTHERN,1482,FLORIDA 2,KAISER PERMANENTE - MAS REGION - EVS,902072113,KAISER PERMANENTE - MAS REGION - EVS,902072113,902072110,902072110,KAISER PERMANENTE - MAS REGION - EVS,PM ,Priority Mail                                     ,5603,2022-09-10,1297,SEP 2022,PM,3D  ,Priority Mail - 3 Day,7,7,0
60,2,ATLANTIC,57,DE-PA 2 DISTRICT,7,SOUTHERN,1488,FLORIDA 3,CVS,901000063,CVS / CAREMARK - WILKES BARRE,901000063,901000062,901000062,CVS / CAREMARK - WILKES BARRE,FC ,First-Class                                       ,5590,2022-06-11,1294,JUN 2022,FC,3D  ,First Class - 3 Day,34,45,11
61,2,ATLANTIC,57,DE-PA 2 DISTRICT,5,WESTPAC,22,HAWAII,CVS,901000063,CVS / CAREMARK - WILKES BARRE,901000063,901000062,901000062,CVS / CAREMARK - WILKES BARRE,FC ,First-Class                                       ,5560,2021-11-13,1287,NOV 2021,FC,3D  ,First Class - 3 Day,1,1,0
62,7,SOUTHERN,79,TEXAS 3,10,CENTRAL,23,IA-NE-SD,OPTUM RX SA_HDP,902746718,OPTUM RX SA_HDP,902746718,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5601,2022-08-27,1297,SEP 2022,PM,3D  ,Priority Mail - 3 Day,2,2,0
63,7,SOUTHERN,1497,FLORIDA 1,10,CENTRAL,24,MICHIGAN 1,HDP,902293986,HDP,902293986,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5581,2022-04-09,1292,APR 2022,FC,3D  ,First Class - 3 Day,34,34,0
64,7,SOUTHERN,79,TEXAS 3,7,SOUTHERN,1497,FLORIDA 1,HDP,902541975,HDP,902541975,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5578,2022-03-19,1291,MAR 2022,FC,3D  ,First Class - 3 Day,1,1,0
65,5,WESTPAC,1081,AZ-NM,5,WESTPAC,1081,AZ-NM,OPTUM RX SA_HDP,902746719,OPTUM RX SA_HDP,902746719,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5599,2022-08-13,1296,AUG 2022,FC,2D  ,First Class - 2 Day,1,1,0
66,10,CENTRAL,72,KS-MO,5,WESTPAC,1080,NV-UT,HDP,902205126,HDP,902205126,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5583,2022-04-23,1292,APR 2022,PM,2D  ,Priority Mail - 2 Day,6,7,1
67,10,CENTRAL,16,OHIO 2,10,CENTRAL,17,OHIO 1,HUMANA,931508576,HUMANA - OH (PMOD),931508576,901097571,901097571,HUMANA PROCUREMENT,FC ,First-Class                                       ,5557,2021-10-23,1286,OCT 2021,FC,2D  ,First Class - 2 Day,303,317,14
68,10,CENTRAL,16,OHIO 2,10,CENTRAL,16,OHIO 2,HUMANA,931508576,HUMANA - OH (PMOD),931508576,901097571,901097571,HUMANA PROCUREMENT,PM ,Priority Mail                                     ,5575,2022-02-26,1291,MAR 2022,PM,1D  ,Priority Mail - 1 Day,397,406,9
69,10,CENTRAL,14,ILLINOIS 1,10,CENTRAL,46,WISCONSIN,INGENIO,902372651,Ingenio Rx,902372651,901000062,901000062,CVS / CAREMARK - WILKES BARRE,PM ,Priority Mail                                     ,5601,2022-08-27,1296,AUG 2022,PM,3D  ,Priority Mail - 3 Day,11,11,0
70,2,ATLANTIC,2294,NORTH CAROLINA,2,ATLANTIC,1309,NEW YORK 1,OPTUM RX CH_HDP,902746635,OPTUM RX CH_HDP,902746635,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5607,2022-10-08,1298,OCT 2022,PM,2D  ,Priority Mail - 2 Day,2,2,0
71,7,SOUTHERN,79,TEXAS 3,5,WESTPAC,81,CALIFORNIA 3,HDP,902541975,HDP,902541975,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5568,2022-01-08,1289,JAN 2022,PM,3D  ,Priority Mail - 3 Day,4,4,0
72,7,SOUTHERN,79,TEXAS 3,5,WESTPAC,1081,AZ-NM,HDP,902541978,HDP,902541978,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5579,2022-03-26,1291,MAR 2022,PM,3D  ,Priority Mail - 3 Day,4,4,0
73,10,CENTRAL,72,KS-MO,7,SOUTHERN,1482,FLORIDA 2,HDP,902205134,HDP,902205134,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5580,2022-04-02,1292,APR 2022,PM,3D  ,Priority Mail - 3 Day,26,26,0
74,2,ATLANTIC,57,DE-PA 2 DISTRICT,2,ATLANTIC,1,NEW YORK 3,INGENIO,902372650,Ingenio Rx,902372650,901000062,901000062,CVS / CAREMARK - WILKES BARRE,FC ,First-Class                                       ,5575,2022-02-26,1291,MAR 2022,FC,2D  ,First Class - 2 Day,13,14,1
75,5,WESTPAC,38,CALIFORNIA 5,5,WESTPAC,63,CALIFORNIA 6,KAISER PERMANENTE - SCAL REGION,902048551,KAISER PERMANENTE - SCAL REGION,902048551,902048548,902048548,KAISER PERMANENTE - SCAL REGION,PM ,Priority Mail                                     ,5564,2021-12-11,1288,DEC 2021,PM,2D  ,Priority Mail - 2 Day,1277,1289,12
76,5,WESTPAC,73,WASHINGTON,10,CENTRAL,46,WISCONSIN,OPTUM RX WV_HDP,902746734,OPTUM RX WV_HDP,902746734,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5585,2022-05-07,1293,MAY 2022,FC,4D  ,First Class - 4 Day,139,143,4
77,10,CENTRAL,72,KS-MO,7,SOUTHERN,59,LOUISIANA,HDP,902205126,HDP,902205126,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5578,2022-03-19,1291,MAR 2022,PM,3D  ,Priority Mail - 3 Day,5,5,0
78,5,WESTPAC,1081,AZ-NM,2,ATLANTIC,9,MA-RI,CMOP TUCSON,901581568,CMOP TUCSON,901581568,901581565,901581565,GENCO,FC ,First-Class                                       ,5560,2021-11-13,1287,NOV 2021,FC,3D  ,First Class - 3 Day,0,1,1
79,7,SOUTHERN,1497,FLORIDA 1,7,SOUTHERN,1471,AL-MS,OPTUMRX OV_HDP,902746690,OPTUMRX OV_HDP,902746690,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5586,2022-05-14,1293,MAY 2022,PM,2D  ,Priority Mail - 2 Day,16,17,1
80,7,SOUTHERN,79,TEXAS 3,5,WESTPAC,38,CALIFORNIA 5,HDP,902541978,HDP,902541978,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5604,2022-09-17,1297,SEP 2022,FC,3D  ,First Class - 3 Day,2,2,0
81,7,SOUTHERN,79,TEXAS 3,2,ATLANTIC,1297,NEW YORK 2,OPTUM RX SA_HDP,902746720,OPTUM RX SA_HDP,902746720,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5593,2022-07-02,1295,JUL 2022,FC,4D  ,First Class - 4 Day,26,29,3
82,10,CENTRAL,72,KS-MO,7,SOUTHERN,1084,SOUTH CAROLINA,OPTUM RX OP_HDP,902746683,OPTUM RX OP_HDP,902746683,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5566,2021-12-25,1288,DEC 2021,FC,3D  ,First Class - 3 Day,60,64,4
83,2,ATLANTIC,2294,NORTH CAROLINA,7,SOUTHERN,1463,TENNESSEE,OPTUM RX CH_HDP,902746634,OPTUM RX CH_HDP,902746634,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5575,2022-02-26,1291,MAR 2022,FC,2D  ,First Class - 2 Day,423,432,9
84,7,SOUTHERN,79,TEXAS 3,2,ATLANTIC,74,VIRGINIA,OPTUM RX SA_HDP,902746720,OPTUM RX SA_HDP,902746720,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5592,2022-06-25,1294,JUN 2022,FC,3D  ,First Class - 3 Day,3,3,0
85,5,WESTPAC,73,WASHINGTON,5,WESTPAC,65,ID-MT-OR,OPTUM RX WV_HDP,902746735,OPTUM RX WV_HDP,902746735,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5607,2022-10-08,1298,OCT 2022,PM,2D  ,Priority Mail - 2 Day,62,75,13
86,7,SOUTHERN,1497,FLORIDA 1,7,SOUTHERN,1482,FLORIDA 2,OPTUMRX OV_HDP,902746690,OPTUMRX OV_HDP,902746690,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5598,2022-08-06,1296,AUG 2022,PM,1D  ,Priority Mail - 1 Day,7,7,0
87,5,WESTPAC,63,CALIFORNIA 6,2,ATLANTIC,28,CONNECTICUT,OPTUM RX CA_HDP,902746622,OPTUM RX CA_HDP,902746622,901267090,901267090,UHG - OPTUMRX,FC ,First-Class                                       ,5557,2021-10-23,1286,OCT 2021,FC,3D  ,First Class - 3 Day,69,83,14
88,7,SOUTHERN,1497,FLORIDA 1,2,ATLANTIC,9,MA-RI,HDP,902293986,HDP,902293986,901267090,901267090,UHG - OPTUMRX,PM ,Priority Mail                                     ,5569,2022-01-15,1289,JAN 2022,PM,2D  ,Priority Mail - 2 Day,3,5,2
